,timestamp_iso_x,opc_pm25_x,pm25_env_x,opc_pm10_x,pm10_env_x,id,timestamp_iso_y,opc_pm25_y,pm25_env_y,opc_pm10_y,pm10_env_y
0,2025-10-07 17:23:46+00:00,0.0,11.0,0.0,16.0,1,2025-10-07 17:23:38+00:00,0.0,7.0,0.0,7.0
1,2025-10-07 17:23:51+00:00,5.6,9.0,6.307,13.0,2,2025-10-07 17:23:43+00:00,5.407,9.0,8.5,10.0
2,2025-10-07 17:23:56+00:00,5.204,7.0,5.872,10.0,3,2025-10-07 17:23:48+00:00,5.361,7.0,8.685,8.0
3,2025-10-07 17:24:01+00:00,4.087,7.0,4.946,10.0,4,2025-10-07 17:23:53+00:00,4.64,9.0,15.194,9.0
4,2025-10-07 17:24:06+00:00,5.545,6.0,7.665,9.0,5,2025-10-07 17:23:58+00:00,4.54,9.0,9.433,10.0
5,2025-10-07 17:24:11+00:00,5.062,5.0,6.781,8.0,6,2025-10-07 17:24:03+00:00,4.965,10.0,66.022,10.0
6,2025-10-07 17:24:16+00:00,3.016,5.0,3.695,8.0,7,2025-10-07 17:24:08+00:00,2.342,10.0,2.405,10.0
7,2025-10-07 17:24:23+00:00,5.138,6.0,16.72,8.0,8,2025-10-07 17:24:13+00:00,5.131,11.0,7.757,11.0
8,2025-10-07 17:23:05+00:00,4.227,7.0,17.65,8.0,9,2025-10-07 17:24:18+00:00,4.597,10.0,8.25,10.0
9,2025-10-07 17:23:10+00:00,7.71,7.0,15.516,9.0,10,2025-10-07 17:24:23+00:00,4.769,12.0,6.569,12.0
10,2025-10-07 17:23:15+00:00,3.709,7.0,5.296,9.0,11,2025-10-07 17:24:28+00:00,4.338,12.0,13.877,12.0
11,2025-10-07 17:23:20+00:00,5.007,8.0,7.146,9.0,12,2025-10-07 17:24:33+00:00,1.321,12.0,1.33,12.0
12,2025-10-07 17:23:25+00:00,3.743,9.0,40.37,10.0,13,2025-10-07 17:24:38+00:00,4.914,12.0,8.969,12.0
13,2025-10-07 17:23:30+00:00,7.086,9.0,17.568,10.0,14,2025-10-07 17:24:43+00:00,2.381,11.0,2.464,11.0
14,2025-10-07 17:23:35+00:00,2.792,8.0,4.386,9.0,15,2025-10-07 17:24:48+00:00,4.088,11.0,7.602,11.0
15,2025-10-07 17:23:40+00:00,7.719,7.0,21.51,8.0,16,2025-10-07 17:24:53+00:00,6.006,11.0,17.72,11.0
16,2025-10-07 17:23:45+00:00,4.288,8.0,8.637,9.0,17,2025-10-07 17:24:58+00:00,2.322,10.0,16.554,10.0
17,2025-10-07 17:23:50+00:00,2.804,8.0,2.99,9.0,18,2025-10-07 17:25:03+00:00,4.432,11.0,8.602,11.0
18,2025-10-07 17:23:55+00:00,5.087,8.0,7.995,9.0,19,2025-10-07 17:25:08+00:00,5.317,9.0,10.069,9.0
19,2025-10-07 17:24:00+00:00,5.708,8.0,11.697,10.0,20,2025-10-07 17:25:13+00:00,3.278,11.0,11.578,11.0
20,2025-10-07 17:24:05+00:00,5.599,8.0,39.409,11.0,21,2025-10-07 17:25:18+00:00,2.945,10.0,3.426,10.0
